author,statement,source,date,target,Label
Gabrielle Settles,Says President Joe Biden was recorded talking about bank collapse.,TikTok posts,"March 20, 2023",pants-fire,0
Samantha Putterman,“BREAKING: ANTHONY FAUCI is set to be arrested!!!”,Instagram posts,"March 20, 2023",pants-fire,0
Ciara O'Rourke,Photo shows former President Donald Trump detained by police.,Tweets,"March 20, 2023",false,0
Louis Jacobson,"""Half the kids in this country, when they graduate, can’t read their diploma.”",Tommy Tuberville,"March 20, 2023",barely-true,0
Aarón Torres,"""Businesses large and small have led Texas to be ranked the number one state for business every year that I’ve been governor.""",Greg Abbott,"March 20, 2023",half-true,0
Grace Abels,"“USA gives final warning to Uganda to legalize homosexuality,” or no aid.",Facebook posts,"March 17, 2023",false,0
Madeline Heim,"Under a GOP bill on cash bail, ""a large quantity of people who are accused of crimes, including anyone who even witnesses certain crimes, could now be detained and subject to bail.""",Darrin Madison,"March 17, 2023",half-true,0
Louis Jacobson,"""The First Amendment doesn’t allow you to willingly lie.""",Whoopi Goldberg,"March 17, 2023",barely-true,0
Samantha Putterman,Kari Lake called Trump the “fattest president since Taft” in a 2016 tweet.,Tweets,"March 16, 2023",false,0
Andy Nguyen,"""We’re just burning 300 gallons of jet fuel to de-ice this clean energy wind turbine … that needs 80 gallons of synthetic oil to operate.""",Facebook posts,"March 16, 2023",false,0
Gabrielle Settles,Monster Energy’s logo uses a sign of the anti-Christ as part of its marketing effort.,Facebook posts,"March 15, 2023",pants-fire,0
Amy Sherman,A $2 million grant for Georgia’s DeKalb County amounts to a “private takeover of election offices.”,Facebook posts,"March 15, 2023",false,0
Tom Kertscher,On drilling on federal lands.,Joe Biden,"March 15, 2023",full-flop,0
Amy Sherman,“More cops are killed responding to domestic violence calls than anything else.”,Joe Biden,"March 15, 2023",false,0
Ciara O'Rourke,“Elon Musk bans Greta Thunberg from Twitter.”,Bloggers,"March 15, 2023",false,0
Samantha Putterman,Walgreens’ position “has always been” to “dispense Mifepristone in any jurisdiction where it is legally permissible to do so.”,Walgreens,"March 15, 2023",mostly-true,0
Yacob Reyes,"""Ron DeSantis wants to raise the retirement age to 70.""",DeSantis Watch,"March 15, 2023",barely-true,0
Ciara O'Rourke,“Russian dementia care facilities are using Biden on their poster.”,Viral image,"March 15, 2023",false,0
Ciara O'Rourke,“Clinton ally mysteriously dies.”,Facebook posts,"March 15, 2023",false,0
Loreben Tuquero,Photos of the Statue of Liberty taken in 1920 and 2020 show that the sea level hasn’t changed.,Instagram posts,"March 14, 2023",false,0
Ciara O'Rourke,Video shows U.S. Secret Service agents are demons.,Viral image,"March 14, 2023",pants-fire,0
Ciara O'Rourke,“Emergency injunction and tribunal order was served to WHO … to immediately cease and desist a criminal conspiracy to commit war crimes.”,Viral image,"March 14, 2023",pants-fire,0
Paul Specht,“The left is determined to erase Mount Rushmore from our history books.”,North Carolina Republican Party,"March 14, 2023",false,0
Ciara O'Rourke,Audio captures former Presidents Donald Trump and Barack Obama debating Michelle Obama’s gender.,Viral image,"March 14, 2023",false,0
D.L. Davis,"""Wisconsin has seen over 63 billion dollars of federal pandemic-related funding funnel into our state over (Gov. Tony Evers') tenure.""",Joan Ballweg,"March 14, 2023",mostly-true,0
Ciara O'Rourke,"Elon Musk tweeted, “The world is flat.”",Viral image,"March 13, 2023",false,0
Ciara O'Rourke,“The Simpsons” predicted money missing from Bank of America customers’ accounts in January.,Viral image,"March 13, 2023",false,0
Ciara O'Rourke,“Harry could be exiled to Botswana after he was deported from the United States due to an expired visa.”,Facebook posts,"March 13, 2023",pants-fire,0
Ciara O'Rourke,“‘The View’ settles with the Rittenhouses for $22 million and a formal apology.”,Bloggers,"March 13, 2023",false,0
Amy Sherman,"Democrats ""want to ban gas powered cars and gas stoves.”",Nikki Haley,"March 13, 2023",half-true,0
Gabrielle Settles,"The 2017 Unite the Right rally in Charlottesville, Virginia, was “an American intel op against Trump.”",Scott Adams,"March 10, 2023",pants-fire,0
Madison Czopek,Video shows that certain drinks can “test positive” for COVID-19 when using at-home COVID-19 tests.,Facebook posts,"March 10, 2023",false,0
Paul Specht,Wake County is the only large county in North Carolina that elects its commissioners at-large countywide.,Erin Paré,"March 10, 2023",mostly-true,0
Ciara O'Rourke,The White House Visitor Center is displaying a photo of a fake President Joe Biden.,Facebook posts,"March 9, 2023",pants-fire,0
Ciara O'Rourke,President Joe Biden is “in Gitmo.”,Facebook posts,"March 9, 2023",pants-fire,0
Conor Amendola,"Energy Secretary Jennifer Granholm met ""with the radical green energy group behind the gas stove ban,"" which ""has ties to the"" Chinese Communist Party.",Nicholas Langworthy,"March 9, 2023",barely-true,0
Amy Sherman,"The 2020 election could not have been fair because “Los Angeles County agreed, during litigation, that there were 1.2 million ineligible voters after the election.”",Donald Trump,"March 9, 2023",false,0
Yacob Reyes,"""$1 of every $3 (Ron DeSantis) spends comes from the federal government.""",Fentrice Driskell,"March 9, 2023",true,1
Ciara O'Rourke,“Elon Musk to acquire Facebook soon.”,Bloggers,"March 9, 2023",false,0
Madison Czopek,"Because of daylight saving time, “NO alarm set for the 2:00 a.m. hour will go off” on March 12.",Chain email,"March 9, 2023",half-true,0
Ciara O'Rourke,“Ashli Babbitt is alive and well.”,Instagram posts,"March 9, 2023",false,0
Ciara O'Rourke,Video shows Elon Musk endorsing “an anti-aging remedy.”,Viral image,"March 9, 2023",false,0
Ciara O'Rourke,Elon Musk banned U.S. Rep. Alexandria Ocasio-Cortez from Twitter.,Facebook posts,"March 9, 2023",pants-fire,0
Ciara O'Rourke,Vladimir Putin “orders destruction of all COVID-19 vaccines in Russia.”,Bloggers,"March 9, 2023",pants-fire,0
Ciara O'Rourke,Bill Gates claims to be a “valid representative of the pharmaceutical industry” because he “read a lot of books about that topic.”,Viral image,"March 9, 2023",false,0
Ciara O'Rourke,“Crowd erupts as Chip Roy grills Kamala Harris as she lies in Congress” in video.,Facebook posts,"March 8, 2023",pants-fire,0
Ciara O'Rourke,“The January 6 committee disbanded immediately after the new footage was released.”,Facebook posts,"March 8, 2023",false,0
Cameron Carr,New York City Mayor Eric Adams proposes to “ban chocolate milk.”,Elise Stefanik,"March 8, 2023",mostly-true,0
Elizabeth Egan,“Lifetime earnings of someone with a college degree is over a million dollars more than those entering the workforce without one.”,Stanley Litow,"March 8, 2023",mostly-true,0
Maria Ramirez,“We banned transgender” people from serving in the military.,Donald Trump,"• March 8,",mostly-true,0
Tom Kertscher,"""The Biden administration is floating a new” climate strategy: Don't leave your house.""",Washington Free Beacon,"March 8, 2023",barely-true,0
Ciara O'Rourke,“Bill Gates arrest warrant issued in Philippines for ‘premeditated murder’ linked to vaccine roll out.”,Instagram posts,"March 8, 2023",pants-fire,0
Ciara O'Rourke,U.S. Sen. Josh Hawley made U.S. Attorney General Merrick Garland cry at a committee hearing.,Facebook posts,"March 8, 2023",false,0
Grace Abels,"“The youth suicide rate has increased exponentially alongside trans affirmation. Trans affirmation causes the suicide rate, not the other way around.”",Matt Walsh,"March 8, 2023",barely-true,0
Madison Czopek,Capitol Police officers “helped” QAnon Shaman Jacob Chansley and “acted as his tour guides.”,Tucker Carlson,"March 7, 2023",pants-fire,0
Gabrielle Settles,"“The five people that died in that plane crash … were supposed to go to Ohio to test the water, the soil and the air quality in East Palestine.”",Facebook posts,"March 7, 2023",false,0
Ciara O'Rourke,The United Kingdom’s “Parliament closed its borders to prevent Harry and Meg from flying to the UK in order to protect the king.”,Facebook posts,"March 7, 2023",pants-fire,0
Laura Schulte,“Tammy Baldwin wants to take away” Medicare and Social Security.,National Republican Senatorial Committee,"March 7, 2023",false,0
Madison Czopek,“The moon is a habitable place.”,Facebook posts,"March 6, 2023",pants-fire,0
Gabrielle Settles,“Breaking: John Fetterman RESIGNATION Announcement.”,Instagram posts,"March 6, 2023",false,0
Madison Czopek,Says Ukrainian President Volodymyr Zelenskyy said he wants America’s “sons and daughters to go die in Ukraine.”,Marjorie Taylor Greene,"March 3, 2023",false,0
Loreben Tuquero,"In Ohio, “there are 75,000 acres of farmland, fertile farmland, that are all now being poured down with acid rain.”",Facebook posts,"March 3, 2023",false,0
Gabrielle Settles,“Muslims by the millions are converting to Christianity.”,Facebook posts,"March 3, 2023",false,0
Loreben Tuquero,"Digital IDs were given to residents in East Palestine, Ohio, “to track long term health problems like difficulty breathing” before the Feb. 3 train derailment.",Instagram posts,"March 2, 2023",false,0
Madison Czopek,"The Justice Department has been “calling parents that are concerned about what their kids are being taught, they are labeling them terrorists.”",Kat Cammack,"March 2, 2023",false,0
Madison Czopek,Sen. Marco Rubio signed a 2021 letter that “supports waivers that would reduce visual track inspections.”,Pete Buttigieg,"March 2, 2023",barely-true,0
Jeff Cercone,Photo of electric charging station “powered by diesel generator” is emblematic of the electric vehicle movement.,Facebook posts,"February 28, 2023",barely-true,0
Ciara O'Rourke,“Official govt docs expose Michelle Obama’s 14 year history as a man.”,Facebook posts,"February 28, 2023",pants-fire,0
Jeff Cercone,"""Woody Harrelson’s 60 seconds in the middle of his monologue was cut out of the edits released after the show.”",Instagram posts,"February 28, 2023",false,0
Ciara O'Rourke,“BREAKING Trump preps Marines to stop presidential coup.”,Facebook posts,"February 28, 2023",false,0
Ciara O'Rourke,Video shows President Joe Biden recalling an alien encounter.,Facebook posts,"February 28, 2023",false,0
Tom Kertscher,"Rifles “were involved in 297 deaths” in the U.S. in 2022 and “constipation killed 2,167.”",Instagram posts,"February 28, 2023",false,0
Sara Swann,Drinking or using tap water treated with chlorine is dangerous because “chlorine is a poison.”,Facebook posts,"February 28, 2023",false,0
Ciara O'Rourke,Joe Biden described America as “the foothills of the Himalayas with Xi Jinping.”,Viral image,"February 28, 2023",false,0
Ciara O'Rourke,"Kid Rock tweeted, “Some people wouldn’t recognize tyranny if it slapped a mask on their face, made them stand 6 feet apart, and forced them to take a vaccine for a virus with a 99.8% survival rate.”",Instagram posts,"February 27, 2023",false,0
Loreben Tuquero,"The train that derailed in Ohio was carrying “over 300,000 gallons of a chemical that was banned in 1974.”",Facebook posts,"February 27, 2023",barely-true,0
Ciara O'Rourke,Photos of an apartment building in Kyiv are evidence the war in Ukraine “is fake.”,Viral image,"February 27, 2023",pants-fire,0
Ciara O'Rourke,Former President Donald Trump “was the 1st president in U.S. history to acknowledge that children are being sold for sex in the U.S.” while President Joe Biden “rescinded Trump’s executive order that helped combat child sex trafficking.”,Viral image,"February 27, 2023",false,0
Ciara O'Rourke,"Says Elizabeth Warren said, “Allowing Republicans to vote could threaten the integrity of an election.”",Viral image,"February 27, 2023",false,0
Andy Nguyen,“The whole green energy agenda involves more than doubling 10 types of mining.”,Alex Epstein,"February 27, 2023",mostly-true,0
Jill Terreri,53% of Americans made aware of the Hunter Biden laptop story would have changed their vote in 2020.,Elise Stefanik,"• February 25,",false,0
Jeff Cercone,"""The laws governing Agenda 2030 land development allows the government to seize polluted lands and move their residents to … smart cities.”",Instagram posts,"February 24, 2023",false,0
Samantha Putterman,Apple will pay customers $700 for a slowed-down iPhone.,Instagram posts,"February 24, 2023",false,0
Ciara O'Rourke,President Joe Biden was “shot” in a “behind-the-scenes execution.”,Facebook posts,"February 23, 2023",pants-fire,0
Ciara O'Rourke,“President Joe Biden admits to faking the election.”,Instagram posts,"February 23, 2023",false,0
Loreben Tuquero,"In Australia, a “17% increase in heart attack deaths” in the first eight months of 2022 is linked to COVID-19 vaccination.",Instagram posts,"February 23, 2023",false,0
Ciara O'Rourke,"“Clinton aide found dead, tied to tree in apparent murder.”",Facebook posts,"February 23, 2023",false,0
Ciara O'Rourke,“Every single one” of former President Barack Obama’s Medal of Freedom recipients in this video “was on Epstein’s flight logs.”,Viral image,"February 23, 2023",false,0
Amy Sherman,Student ID cards are a “source of fraud” at the polls.,Tina Lambert,"February 23, 2023",false,0
Yacob Reyes,"""George Soros has endorsed (Ron) DeSantis for 2024.""",The Gateway Pundit,"February 23, 2023",false,0
Ciara O'Rourke,“Joe Biden changes the name of Black History Month.”,Instagram posts,"February 23, 2023",false,0
Ciara O'Rourke,Big-box stores are refunding and crediting customers for fraud and discrimination.,Facebook posts,"February 23, 2023",false,0
Ciara O'Rourke,“Putin decimates another adrenochrome warehouse in Ukraine.”,Bloggers,"February 23, 2023",pants-fire,0
Ciara O'Rourke,Audio is a “record of Biden trying to cover up his stolen documents crime.”,Instagram posts,"February 23, 2023",false,0
Ciara O'Rourke,Andrew Tate was released from prison and “proven not guilty.”,Instagram posts,"February 23, 2023",false,0
Ciara O'Rourke,Winston Churchill didn’t mention the Holocaust in his memoirs because it didn’t happen.,Instagram posts,"February 23, 2023",pants-fire,0
Ciara O'Rourke,Canada has only “had 11 school shooting deaths … in history.”,Viral image,"February 23, 2023",half-true,0
Gabrielle Settles,Photo shows “what railways in Ohio look like while we send $40 billion to Ukraine.”,Facebook posts,"February 23, 2023",false,0
Samantha Putterman,"“Because the Covid shots are still manufactured under the Emergency Use Authorization, they can change up to 49% of the ingredients without FDA approval.""",Instagram posts,"February 22, 2023",false,0
Ciara O'Rourke,“Leaked audio recording of Biden and Zelenskyy talking in private.”,Viral image,"February 22, 2023",false,0
Ciara O'Rourke,A photo shows President Joe Biden and Ukrainian President Volodymyr Zelenskyy holding hands.,Viral image,"February 22, 2023",false,0
Ciara O'Rourke,The U.S. State Department has started a special immigrants visa “evacuation operation.”,Facebook posts,"February 22, 2023",false,0
Louis Jacobson,“I never claimed to be Jewish.”,George Santos,"February 22, 2023",pants-fire,0
Yacob Reyes,"""Ron DeSantis voted to cut $473 billion from Medicare.""",DeSantis Watch,"February 22, 2023",half-true,0
Ciara O'Rourke,Richard Belzer died because of a COVID-19 vaccine.,Facebook posts,"February 22, 2023",false,0
Warren Fiske,Brown v. Board of Education “was never about sending Black children to white schools. It was about parents being able to decide where to send their children to school.”,Winsome Earle-Sears,"February 22, 2023",false,0
Jeff Cercone,"""Biden admin negotiates deal to give WHO authority over US pandemic policies.”",Instagram posts,"February 21, 2023",false,0
Paul Specht,“One man was actually killed” during 2020 protests of police brutality in Raleigh,Tim Moore,"February 21, 2023",false,0
Ciara O'Rourke,Video shows “the earthquake in Turkey.”,Facebook posts,"February 21, 2023",false,0
Loreben Tuquero,“Mickey Mouse to be replaced as official Disney mascot.”,Instagram posts,"February 20, 2023",false,0
Tom Kertscher,The dog dewormer fenbendazole can cure cancer in humans.,Facebook posts,"February 20, 2023",false,0
Louis Jacobson,"The “average tax” for billionaires is “about 3%,” which is “a lower tax than a schoolteacher or a firefighter.""",Joe Biden,"February 20, 2023",false,0
Jeff Cercone,“Seven ecological disasters in less than 2 weeks. … We are under attack.”,Facebook posts,"February 17, 2023",false,0
Ciara O'Rourke,KFC tweeted an image of a chicken drumstick for Black History Month.,Viral image,"February 17, 2023",false,0
Ciara O'Rourke,A photo shows birds that “dropped dead” in Kentucky after the train derailment in Ohio.,Facebook posts,"February 17, 2023",false,0
Ciara O'Rourke,“Criminal caught after cutting off 37 man buns.”,Viral image,"February 17, 2023",false,0
Ciara O'Rourke,The city of Atlanta is banning the word “women.”,Viral image,"February 17, 2023",false,0
Sara Swann,“Obama imposed stricter rules on trains carrying toxins. Trump killed them.”,Occupy Democrats,"February 17, 2023",mostly-true,0
Loreben Tuquero,"At the World Economic Forum, Moderna CEO Stéphane Bancel admitted that his company produced 100,000 doses of COVID-19 vaccines in 2019, before the pandemic started.",Instagram posts,"February 17, 2023",false,0
Maria Ramirez,"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",Tucker Carlson,"• February 17,",pants-fire,0
Jeff Cercone,"In Australia, ""All joggers must wear a helmet.”",Facebook posts,"February 16, 2023",false,0
Ciara O'Rourke,President Joe Biden said “this s--- will turn your pacemaker off.”,Viral image,"February 16, 2023",pants-fire,0
Ciara O'Rourke,Russian President Vladimir Putin “intercepts adrenochrome shipment headed to United States.”,Bloggers,"February 16, 2023",pants-fire,0
Nusaiba Mizan,"""Energy costs are the highest in 15 years.""",Morgan Luttrell,"February 16, 2023",mostly-true,0
Jeff Cercone,"""Mother Teresa sold babies.”",Instagram posts,"February 15, 2023",false,0
Madison Czopek,"""It's President Biden who is proposing to cut Medicare Advantage.""",Tom Cotton,"February 15, 2023",false,0
Loreben Tuquero,“Michigan State University suspect is 22-year-old ‘Raymone Jordan.’”,Social Media,"February 15, 2023",false,0
Loreben Tuquero,"“Humans are not causing climate change.” Magnetic pole shifting “is causing havoc worldwide in weather, climate, earthquakes, tsunamis, etc.”",Instagram posts,"February 15, 2023",false,0
Jeff Cercone,"The earthquake in Turkey is a ""scripted"" use of geo engineering weather modification HAARP",Facebook posts,"February 15, 2023",false,0
Nusaiba Mizan,Gov. Abbott “signed a bill last year eliminating the requirements for Texas schools to teach MLK’s ‘I have a dream’ speech.”,Sawyer Hackett,"February 14, 2023",half-true,0
Andy Nguyen,"“Right now, driving 100 miles in an electric vehicle is more expensive than driving an internal combustion engine car.”",Erick Erickson,"February 14, 2023",half-true,0
Samantha Putterman,The Michigan State University shooter is a 21-year-old man named Lynn Dee Walker.,Facebook posts,"February 14, 2023",false,0
Amy Sherman,On running against Donald Trump for president.,Nikki Haley,"February 14, 2023",full-flop,0
Samantha Putterman,Canada is to thank for American football.,Dave Grohl,"February 13, 2023",mostly-true,0
Sara Swann,The Kansas City Chiefs’ Super Bowl win has been “put on hold as NFL plans to launch an investigation on possible (performance-enhancing drug) use by Patrick Mahomes during halftime.”,Tweets,"February 13, 2023",pants-fire,0
Matthew Crowley,"“We used to rank No. 1 in the world in research and development, now we rank No. 9. China used to rank No. 8, now it ranks No. 2.”",Joe Biden,"February 13, 2023",barely-true,0
Louis Jacobson,"""Studies show that children who go to preschool are nearly 50% more likely to finish high school and go on to earn a two- or four-year degree, no matter their background they came from.""",Joe Biden,"February 13, 2023",mostly-true,0
Jeff Cercone,“Joe Biden put his pants on backwards”,Instagram posts,"February 10, 2023",pants-fire,0
Ciara O'Rourke,Gen. Mark Milley “never served in combat.”,Viral image,"February 10, 2023",false,0
Ciara O'Rourke,Photos show someone in a President Joe Biden mask at the State of the Union.,Facebook posts,"February 10, 2023",pants-fire,0
Ciara O'Rourke,A photo shows a deputy U.S. marshal “keeping a close eye” on President Joe Biden at the State of the Union address on Feb. 7.,Facebook posts,"February 10, 2023",false,0
Ciara O'Rourke,A video shows a dog trying to reach her puppies after the Turkey-Syria earthquake.,Viral image,"February 10, 2023",false,0
Ciara O'Rourke,“100% of COVID deaths in Canada now due to mRNA vaccine.”,Viral image,"February 10, 2023",false,0
Ciara O'Rourke,Photo shows former President Donald Trump and Mexican President Andrés Manuel López Obrador kissing.,Viral image,"February 10, 2023",false,0
Tom Kertscher,"""In the month since Republicans took the House majority,"" they are trying to ""impose a 30% tax on everything.""",Facebook posts,"February 10, 2023",barely-true,0
Louis Jacobson,President Joe Biden “cheated on his taxes and got away with it.”,Rick Scott,"February 10, 2023",false,0
Ciara O'Rourke,"“NASA Curiosity finds Nazi helmet on Mars.""",Viral image,"February 10, 2023",false,0
Jeff Cercone,"""Joe Biden's wide open southern border"" is to blame for fentanyl deaths in the U.S.",Kayleigh McEnany,"February 10, 2023",false,0
Loreben Tuquero,"The 87,000 new IRS agents who were supposed to “only target the rich” are now “coming after waitresses’ tips.”",Mike Palicz,"February 10, 2023",barely-true,0
Ciara O'Rourke,“There are no humans” on the International Space Station.,Facebook posts,"February 9, 2023",false,0
Tom Kertscher,"Earthquake in Turkey and Syria is ""a systemic attack against Kurdish people.""",Instagram posts,"February 9, 2023",pants-fire,0
Sara Swann,An ingredient in some of Chick-fil-A’s dipping sauces can cause serious health problems.,Facebook posts,"February 9, 2023",false,0
Samantha Putterman,"“In the past two years, democracies have become stronger, not weaker. Autocracies have grown weaker, not stronger.”",Joe Biden,"February 9, 2023",false,0
Madeline Heim,"In Wisconsin, even multimillionaires can be on BadgerCare ""because we don't even ask people what their income level is to qualify for free health care.""",Robin Vos,"February 9, 2023",mostly-true,0
Ciara O'Rourke,"Mark Zuckerberg launched a platform last month ""that allows each user to earn from $500 a day without even leaving home.""",Facebook posts,"February 8, 2023",false,0
Amy Sherman,Joe Biden closed schools during the COVID-19 pandemic.,Lauren Boebert,"February 8, 2023",false,0
Tom Kertscher,Wind farm construction is a possible cause of dead whales washing ashore in New Jersey.,Instagram posts,"February 8, 2023",barely-true,0
Tom Kertscher,"""Unusual cancers” are “exploding right into stage 4"" and those cancer cells have “the spike protein.""",Facebook posts,"February 8, 2023",false,0
Jill Terreri,"If New York’s proposed limits on natural gas in buildings take effect, the grid today can’t handle the increased electric load.",Robert Ortt,"• February 8,",true,1
Madison Czopek,Photo showing Game of Thrones characters depicts victims of the earthquake in Turkey and Syria.,Instagram posts,"February 8, 2023",false,0
Louis Jacobson,“We created more new jobs in two years than any president did in their entire term.”,Joe Biden,"February 7, 2023",half-true,0
Jeff Cercone,"Image shows a ""Super Bowl script was leaked.”",Tweets,"February 7, 2023",pants-fire,0
Samantha Putterman,"Backyard chicken flocks have stopped laying eggs, and the feed is responsible.",Facebook posts,"February 7, 2023",false,0
Sara Swann,“‘Satellites’ are on balloons and not in space.”,Instagram posts,"February 7, 2023",pants-fire,0
D.L. Davis,"""During my time in office, we've increased per pupil aid by more than $300 per student. Now, our schools have returned to the top 10 in the country after falling to 17 under the previous administration.”",Tony Evers,"February 7, 2023",half-true,0
Warren Fiske,“You know how many children are dying across Virginia because of fentanyl poisoning? A heck of a lot more than are dying at the hands of guns.”,Mark Obenshain,"February 7, 2023",false,0
Jeff Cercone,"In Ukraine, 2,458 NATO soldiers and 234 NATO military trainers have died, some of whom are from the U.S.",Tweets,"February 6, 2023",pants-fire,0
Madison Czopek,“Pfizer just got caught doing gain of function to mutate covid intentionally for vaccines.”,Instagram posts,"February 6, 2023",false,0
Paul Specht,Diamond and Silk pundit died from COVID-19,Tweets,"February 6, 2023",false,0
Jeff Cercone,"Joe Biden said to transgender women, “you will never be a real woman.”",Instagram posts,"February 6, 2023",pants-fire,0
Yacob Reyes,"""(Ron) DeSantis' bill would remove: background checks, instruction, training and oversight.""",Gavin Newsom,"February 6, 2023",half-true,0
Ciara O'Rourke,A vigilante “shot down the Chinese spy balloon in an extraordinary act.”,Instagram posts,"February 6, 2023",false,0
Samantha Putterman,“Female student-athletes in Florida need to provide their schools with detailed information about their periods.”,Tweets,"February 3, 2023",half-true,0
Jeff Cercone,Illinois “received $5.1 billion at an elementary school there that used it for equity and diversity.”,Marjorie Taylor Greene,"February 3, 2023",false,0
Maria Ramirez,"""Under Biden, we have seen over 4.6 million encounters at our southern border. Most have been released into the interior and will stay here indefinitely.""",Chip Roy,"• February 3,",half-true,0
Vanessa Swales,"""In 2010, (Wisconsin Republicans) inherited a multi-Billion dollar deficit … Today we are looking at a projected surplus approaching 7 Billion.""",Devin LeMahieu,"February 3, 2023",mostly-true,0
Jeff Cercone,"President Joe Biden said, “The idea that we’re going to send in tanks to Ukraine, that’s called World War III.”",Tweets,"February 2, 2023",false,0
Sara Swann,Pregnancy tests include a “hidden Plan B” pill.,Facebook posts,"February 2, 2023",false,0
Loreben Tuquero,"“More classified documents (were) found at the University of Delaware,” the “equivalent of a tractor trailer worth.”",Peggy Hubbard,"February 2, 2023",false,0
Tom Kertscher,"U.S. Rep. Ilhan Omar is ""facing 40 years in prison and deportation after seven new crimes uncovered.""",Facebook posts,"February 2, 2023",false,0
Laura Schulte,"“Wisconsin is the nation’s top cranberry producer — in fact, our farmers harvest around 60 percent of the country’s crop.”",Tony Evers,"February 2, 2023",true,1
Madison Czopek,The officers who beat Tyre Nichols targeted him because he was “allegedly dating” one of their wives.,Facebook posts,"February 1, 2023",false,0
Louis Jacobson,"“The largest contributor to the debt ceiling, or to our deficit, has been the Trump tax cuts.”",Alexandria Ocasio-Cortez,"February 1, 2023",false,0
Yacob Reyes,"""I got a list of 20 jurisdictions that defunded the police to the tune of over $1 billion total.""",Jim Jordan,"February 1, 2023",barely-true,0
Jeff Cercone,"""Doctors say colon cancer is on the rise due to toxins absorbed while cooking food (in) the microwave.”",Instagram posts,"January 31, 2023",false,0
Ciara O'Rourke,Video shows people collapsing because of COVID-19 vaccines.,Viral image,"January 31, 2023",false,0
Ciara O'Rourke,"The government caused a fire at Hillandale Farms in Connecticut “so that they can force us into eating their fake GMO meats, or starve us into compliance.”",Viral image,"January 31, 2023",false,0
Ciara O'Rourke,U.S. Rep. Alexandria Ocasio-Cortez tweeted that Instagram needs to “TERMINATE…a right-wing media page posting CONSERVATIVE content.”,Viral image,"January 31, 2023",false,0
Ciara O'Rourke,“BREAKING GOP approves resolution to expel Omar from Congress! It’s over for her!”,Facebook posts,"January 31, 2023",false,0
Ciara O'Rourke,The Georgia High School Association started issuing a “sudden cardiac arrest awareness form” in the wake of COVID-19 vaccines.,Viral image,"January 31, 2023",false,0
Ciara O'Rourke,Video shows a “man burning the Quran in Sweden.”,Facebook posts,"January 31, 2023",false,0
Ciara O'Rourke,The United Kingdom banned COVID-19 booster vaccines for people under 50.,Viral image,"January 31, 2023",barely-true,0
Ciara O'Rourke,Video shows Congress “erupting” over U.S. Sen. Ted Cruz’s remarks.,Facebook posts,"January 31, 2023",false,0
Amy Sherman,"Same-day voter registration ""does not allow election officials to verify the validity and accuracy of voter information.""",Rick Scott,"January 31, 2023",false,0
Andy Nguyen,Global warming is a “fraud.”,Facebook posts,"January 31, 2023",false,0
Ciara O'Rourke,“Biden smirks while saying he has added more to the debt than any president before him.”,Viral image,"January 31, 2023",false,0
Gabrielle Settles,Black Americans are not descended from people who were taken from Africa to be enslaved.,Facebook posts,"January 31, 2023",pants-fire,0
Warren Fiske,Glenn Youngkin is “the first sitting Governor in the modern era to have their party have less legislative seats than when they were elected.”,Louise Lucas,"January 31, 2023",false,0
Ciara O'Rourke,"President Joe Biden said, “To the Ukrainian people, I say to them all, you might you might they they might be able to make right and they’re not able to.”",Viral image,"January 30, 2023",false,0
Paul Specht,“Joe Biden’s war on American energy caused this crisis and his only response has been to drain our strategic petroleum reserve to its lowest level since 1983.”,Richard Hudson,"January 30, 2023",barely-true,0
Ciara O'Rourke,This photo shows former President Donald Trump “last week.”,Viral image,"January 30, 2023",false,0
Tom Kertscher,“NASA stopped exploring the ocean.”,Instagram posts,"January 30, 2023",pants-fire,0
Samantha Putterman,The United States of America “no longer exists” because President Joe Biden “signed away our sovereignty as a nation.”,Facebook posts,"January 30, 2023",pants-fire,0
Jeff Cercone,The amount the U.S. has spent in Ukraine is “double the U.S. expenditure for its own war in Afghanistan.”,Instagram posts,"January 27, 2023",false,0
Ciara O'Rourke,A photo shows “Barack Obama dressed up as Baphomet (Lucifer).”,Viral image,"January 27, 2023",pants-fire,0
Ciara O'Rourke,President Joe Biden signed an executive order “making health insurance free for qualifying Americans.”,Facebook posts,"January 27, 2023",false,0
Ciara O'Rourke,“Scientists warn eggs are causing thousands of people to ‘suddenly’ form blood clots.”,Viral image,"January 27, 2023",false,0
Ciara O'Rourke,Hospital photo of Damar Hamlin proves “he’s a corpse.”,Facebook posts,"January 27, 2023",pants-fire,0
Louis Jacobson,"“Two years ago this week, 18 million people were out of work needing unemployment benefits. Today, that number is under 1.6 million, the lowest in decades.”",Joe Biden,"January 27, 2023",half-true,0
Madison Czopek,“The average American has anywhere from 5 to 15 pounds” of stool stuck in their gut.,Facebook posts,"January 27, 2023",false,0
Madison Czopek,“The World Health Organization has been working since 1974 on vaccines to create permanent sterility.”,Instagram posts,"January 27, 2023",false,0
Gabrielle Settles,The Transportation Security Administration spent “a couple hundred million dollars” on gender-neutral screening technology.,Facebook posts,"January 27, 2023",false,0
Ciara O'Rourke,Video shows hecklers shouting profanities at President Joe Biden.,Viral image,"January 26, 2023",false,0
Ciara O'Rourke,“Aretha Franklin’s 1968 song ‘A Natural Woman’ deemed ‘offensive’ by trans community.”,Facebook posts,"January 26, 2023",false,0
